Question	Number of Answers	Represents	Number of Terms	Number of Words	Type-Token Ratio	Root Type-Token Ratio (Guiraud's R)	Corrected Type-Token Ratio	Herdan’s C	Summer	Maas	Dugast	Yule's K	Yule's I	Herdan's VM	Simpson's D	Number of Terms Skipped	Number of Words Skipped	Type-Token Ratio Skipped	Root Type-Token Ratio (Guiraud's R) Skipped	Corrected Type-Token Ratio Skipped	Herdan’s C Skipped	Summer Skipped	Maas Skipped	Dugast Skipped	Yule's K Skipped	Yule's I Skipped	Herdan's VM Skipped	Simpson's D Skipped
5	3979	text-davinci-003 Total	3364	220747	0,015239165198168038	7,159926796178665	5,062832790377206	0,6599785572946694	0,8344422099676249	0,027633297724294067	36,188225161445025	205,44378999218102	0,011301472760134915	0,14230827070688404	0,020544472067174028	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	3979	text-davinci-003 Average	41,31540588087459	55,478009550138225	0,7693227884299132	5,540740276367137	3,9178950222126354	0,9335859421634921	0,9502740174175983	0,01652755285539191	68,89367224535752	159,69172909234283	37,818590955485845	0,09766534029182328	0,01628491016562597	0	0	0	0	0	0	0	0	66	0	66	10	0
6	3998	text-davinci-003 Total	3132	180011	0,017398936731644176	7,381969238862322	5,219840507310044	0,6651993966047218	0,83649241988361	0,027667703276433725	36,14322410533299	159,52685846721357	0,01896981200653656	0,12505581258281465	0,015952774467830444	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	3998	text-davinci-003 Average	35,02901450725363	45,025262631315655	0,8148219288857336	5,226301502690857	3,6955532330781615	0,9450643722703337	0,9576042228438637	0,014282607143434859	89,89658941587315	114,6723672186954	59,95552309829931	0,07458443522917213	0,011754429288148724	0	0	0	0	0	0	0	0	132	0	132	8	0
5	4000	gpt4 Total	7887	339167	0,023254031199969338	13,542693383302973	9,576130326863721	0,7046329858350275	0,8624066027894892	0,023194696436443344	43,11330405811248	146,6214070139054	0,036873454462726385	0,12057486545574601	0,014662183931374388	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	4000	gpt4 Average	61,6915	84,79175	0,7501419744597744	6,63985018317011	4,695083090582329	0,9337779296104259	0,9533794827350913	0,015134667477400622	72,07872658701002	138,69083100007308	40,492300048129245	0,0945855611777004	0,014072666568357737	0	0	0	0	0	0	0	0	25	0	25	4	0
6	4000	gpt4 Total	7473	346550	0,02156398788053672	12,694395670186546	8,976293261454053	0,6992163658089748	0,8594669284811234	0,02358017917343946	42,408498792341355	101,15595828959867	0,04595634600108144	0,09992330232672814	0,010115625018470815	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	4000	gpt4 Average	61,86125	86,6375	0,7516130555189138	6,551064591042784	4,632302196317435	0,9336666369937352	0,9532254379576702	0,015103910644663049	76,56217663644215	102,73026082754122	52,90109153377599	0,07382182447487436	0,010437448519721141	0	0	0	0	0	0	0	0	102	0	102	8	0
5	1795	experts Total	2797	45252	0,061809422787943075	13,14842026776893	9,297337133230052	0,740326595493138	0,8732505351673826	0,024223260494253624	41,28263411266314	278,10774097809076	0,13726905948746615	0,16575689019755907	0,02781138868696949	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	1795	experts Average	17,5933147632312	25,210027855153204	0,7976827227402741	3,3723232109430246	2,3845926108105986	0,9228682849684079	0,9284058424417577	0,02380365324179757	40,86042036916893	259,4949615588489	17,69206833942881	0,09979387458649415	0,02885974630684785	0	0	0	0	0	96	96	96	483	0	483	3	96
6	1797	experts Total	3021	42444	0,0711761379700311	14,663666417627754	10,368777960962031	0,7520071012465926	0,8795454982792157	0,023272736072813237	42,968733752288834	211,80148421059542	0,23894137278354688	0,14447384765899746	0,021180647446774524	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	1797	experts Average	16,502504173622704	23,619365609348915	0,815125373887749	3,248195327512174	2,2968209427023107	0,9281686419818876	0,9298225756740175	0,02292042351471472	43,08077483070015	216,57277943107167	20,72495427788782	0,08291021487133125	0,024587675687991358	0	0	0	0	0	105	105	105	556	0	556	2	105
