Question	SampleAnswer	QuestionId
What are the first ten amendments to the U.S. Constitution called?		1
What is one right or freedom from the First Amendment?		2
What did the Declaration of Independence do?		3
What is the economic system in the United States?		4
Name one of the three branches of the United States government.		5
Who or what makes federal (national) laws in the US?		6
Why do some states have more Representatives than other states?		7
If both the President and the VicePresident can no longer serve, who becomes President?		8
What is one reason the original colonists came to America?		9
Why does the flag have 13 stripes?		10
